"VISION_DATA"
"DATA No","DATE","TIME","OLD_BATCH_NO1","OLD_BATCH_NO2","ƒ´∏ﬁ∂Û ¡æ«’ ∞·∞˙","¿Œº≠∆Æ NG »Æ¿Œ","∞®«’∫Œ ∞·∞˙","ƒ≥∫Ò∆º ∞·∞˙","¡¢√À∫Œ ∞∏_01","¡¢√À∫Œ ∞∏_02","¡¢√À∫Œ ∞∏_03","¡¢√À∫Œ ∞∏_04","¡¢√À∫Œ ∞∏_05","¡¢√À∫Œ ∞∏_06","¡¢√À∫Œ ∞∏_07","¡¢√À∫Œ ∞∏_08","¡¢√À∫Œ ∞∏_09","¡¢√À∫Œ ∞∏_10","¡¢√À∫Œ ∞∏_11","¡¢√À∫Œ ∞∏_12","¡¢√À∫Œ ∞∏_13","¡¢√À∫Œ ∞∏_14","¡¢√À∫Œ ∞∏_15","¡¢√À∫Œ ∞∏_16","¡¢√À∫Œ ∞∏_17","¡¢√À∫Œ ∞∏_18","¡¢√À∫Œ ∞∏_19","¡¢√À∫Œ ∞∏_20","¡¢√À∫Œ ∞∏_21","¡¢√À∫Œ ∞∏_22","¡¢√À∫Œ ∞∏_23","¡¢√À∫Œ ∞∏_24","¡¢√À∫Œ ∞∏_25","¡¢√À∫Œ ∞∏_26","¡¢√À∫Œ ∞∏_27","¡¢√À∫Œ ∞∏_28","¡¢√À∫Œ ∞∏_29","¡¢√À∫Œ ∞∏_30","¡¢√À∫Œ ∞∏_31","¡¢√À∫Œ ∞∏_32","¡¢√À∫Œ ∞∏_33","¡¢√À∫Œ ∞∏_34","¡¢√À∫Œ ∞∏_35","¡¢√À∫Œ ∞∏_36","¡¢√À∫Œ ∞∏_37","¡¢√À∫Œ ∞∏_38","¡¢√À∫Œ ∞∏_39","¡¢√À∫Œ ∞∏_40","¡¢√À∫Œ ∞∏_41","¡¢√À∫Œ ∞∏_42","¡¢√À∫Œ ∞∏_43","¡¢√À∫Œ ∞∏_44","¡¢√À∫Œ ∞∏_45","¡¢√À∫Œ ∞∏_46","¡¢√À∫Œ ∞∏_47","¡¢√À∫Œ ∞∏_48","¡¢√À∫Œ ∞∏_49","¡¢√À∫Œ ∞∏_50","¡¢√À∫Œ ∞∏_51","¡¢√À∫Œ ∞∏_52","¡¢√À∫Œ ∞∏_53","¡¢√À∫Œ ∞∏_54","¡¢√À∫Œ ∞∏_55","¡¢√À∫Œ ∞∏_56","¡¢√À∫Œ ∞∏_57","¡¢√À∫Œ ∞∏_58","¡¢√À∫Œ ∞∏_59","¡¢√À∫Œ ∞∏_60","¡¢√À∫Œ ∞∏_61","¡¢√À∫Œ ∞∏_62","¡¢√À∫Œ ∞∏_63","¡¢√À∫Œ ∞∏_64","¡¢√À∫Œ ∞∏_65","¡¢√À∫Œ ∞∏_66","¡¢√À∫Œ ∞∏_67","¡¢√À∫Œ ∞∏_68","¡¢√À∫Œ ∞∏_69","¡¢√À∫Œ ∞∏_70","¡¢√À∫Œ ∞∏_71","¡¢√À∫Œ ∞∏_72","¡¢√À∫Œ ∞∏_73","¡¢√À∫Œ ∞∏_74","¡¢√À∫Œ ∞∏_75","¡¢√À∫Œ ∞∏_76","¡¢√À∫Œ ∞∏_77","¡¢√À∫Œ ∞∏_78","≥ªø‹√¯ ∞®«’∫Œ_01","≥ªø‹√¯ ∞®«’∫Œ_02","≥ªø‹√¯ ∞®«’∫Œ_03","≥ªø‹√¯ ∞®«’∫Œ_04","≥ªø‹√¯ ∞®«’∫Œ_05","≥ªø‹√¯ ∞®«’∫Œ_06","≥ªø‹√¯ ∞®«’∫Œ_07","≥ªø‹√¯ ∞®«’∫Œ_08","≥ªø‹√¯ ∞®«’∫Œ_09","≥ªø‹√¯ ∞®«’∫Œ_10","≥ªø‹√¯ ∞®«’∫Œ_11","≥ªø‹√¯ ∞®«’∫Œ_12","≥ªø‹√¯ ∞®«’∫Œ_13","≥ªø‹√¯ ∞®«’∫Œ_14","≥ªø‹√¯ ∞®«’∫Œ_15","≥ªø‹√¯ ∞®«’∫Œ_16","≥ªø‹√¯ ∞®«’∫Œ_17","≥ªø‹√¯ ∞®«’∫Œ_18","≥ªø‹√¯ ∞®«’∫Œ_19","≥ªø‹√¯ ∞®«’∫Œ_20","≥ªø‹√¯ ∞®«’∫Œ_21","≥ªø‹√¯ ∞®«’∫Œ_22","≥ªø‹√¯ ∞®«’∫Œ_23","≥ªø‹√¯ ∞®«’∫Œ_24","≥ªø‹√¯ ∞®«’∫Œ_25","≥ªø‹√¯ ∞®«’∫Œ_26","≥ªø‹√¯ ∞®«’∫Œ_27","≥ªø‹√¯ ∞®«’∫Œ_28","≥ªø‹√¯ ∞®«’∫Œ_29","≥ªø‹√¯ ∞®«’∫Œ_30","≥ªø‹√¯ ∞®«’∫Œ_31","≥ªø‹√¯ ∞®«’∫Œ_32","≥ªø‹√¯ ∞®«’∫Œ_33","≥ªø‹√¯ ∞®«’∫Œ_34","≥ªø‹√¯ ∞®«’∫Œ_35","≥ªø‹√¯ ∞®«’∫Œ_36","≥ªø‹√¯ ∞®«’∫Œ_37","≥ªø‹√¯ ∞®«’∫Œ_38","≥ªø‹√¯ ∞®«’∫Œ_39","≥ªø‹√¯ ∞®«’∫Œ_40","≥ªø‹√¯ ∞®«’∫Œ_41","≥ªø‹√¯ ∞®«’∫Œ_42","≥ªø‹√¯ ∞®«’∫Œ_43","≥ªø‹√¯ ∞®«’∫Œ_44","≥ªø‹√¯ ∞®«’∫Œ_45","≥ªø‹√¯ ∞®«’∫Œ_46","≥ªø‹√¯ ∞®«’∫Œ_47","≥ªø‹√¯ ∞®«’∫Œ_48","≥ªø‹√¯ ∞®«’∫Œ_49","≥ªø‹√¯ ∞®«’∫Œ_50","≥ªø‹√¯ ∞®«’∫Œ_51","≥ªø‹√¯ ∞®«’∫Œ_52","≥ªø‹√¯ ∞®«’∫Œ_53","≥ªø‹√¯ ∞®«’∫Œ_54","≥ªø‹√¯ ∞®«’∫Œ_55","≥ªø‹√¯ ∞®«’∫Œ_56","≥ªø‹√¯ ∞®«’∫Œ_57","≥ªø‹√¯ ∞®«’∫Œ_58","≥ªø‹√¯ ∞®«’∫Œ_59","≥ªø‹√¯ ∞®«’∫Œ_60","≥ªø‹√¯ ∞®«’∫Œ_61","≥ªø‹√¯ ∞®«’∫Œ_62","≥ªø‹√¯ ∞®«’∫Œ_63","≥ªø‹√¯ ∞®«’∫Œ_64","≥ªø‹√¯ ∞®«’∫Œ_65","≥ªø‹√¯ ∞®«’∫Œ_66","≥ªø‹√¯ ∞®«’∫Œ_67","≥ªø‹√¯ ∞®«’∫Œ_68","≥ªø‹√¯ ∞®«’∫Œ_69","≥ªø‹√¯ ∞®«’∫Œ_70","≥ªø‹√¯ ∞®«’∫Œ_71","≥ªø‹√¯ ∞®«’∫Œ_72","≥ªø‹√¯ ∞®«’∫Œ_73","≥ªø‹√¯ ∞®«’∫Œ_74","≥ªø‹√¯ ∞®«’∫Œ_75","≥ªø‹√¯ ∞®«’∫Œ_76","≥ªø‹√¯ ∞®«’∫Œ_77","≥ªø‹√¯ ∞®«’∫Œ_78","»¶µÂ¥ŸøÓ ∞∏_01","»¶µÂ¥ŸøÓ ∞∏_02","DM60324","DM60326","DM60328","DM60330","DM60332","DM60334","DM60336","DM60338","DM60340","DM60342","DM60344","DM60346","DM60348","DM60350","DM60352","DM60354","DM60356","DM60358","DM60360","DM60362"
0,2022/07/22,18:32:38,"C227220031      ","N227204016      ",0,0,0,233,234,236,230,229,227,233,234,234,226,235,231,232,232,232,223,228,228,227,235,232,232,235,233,233,233,233,224,232,232,234,238,235,232,235,234,236,233,237,249,253,257,249,249,252,252,250,246,246,250,252,248,253,257,249,243,250,250,247,248,247,249,254,250,256,261,251,253,256,256,254,256,255,255,316,257,261,265,1125,1125,1126,1127,1125,1125,1123,1125,1124,1124,1125,1125,1125,1125,1124,1126,1124,1125,1124,1125,1125,1125,1126,1124,1125,1125,1127,1127,1128,1128,1126,1127,1127,1126,1127,1122,1127,1127,1127,674,668,664,679,681,679,671,672,676,679,672,676,676,671,667,680,688,682,674,677,678,679,674,674,674,669,664,678,679,675,664,670,670,675,671,750,668,667,662,1002,992,1,"","4","","","","","B","","","","","P","","","",0,0,0,0,0
1,2022/07/22,18:32:38,"C227220031      ","N227204016      ",0,0,0,227,243,240,235,241,236,238,237,235,231,230,232,225,240,237,234,235,232,235,235,230,231,233,226,232,229,229,228,229,225,227,229,229,229,227,228,229,231,227,253,252,252,252,253,254,253,256,256,245,242,248,248,246,248,243,252,253,250,254,257,248,248,238,240,238,239,236,240,241,239,250,251,244,245,-2147483648,252,249,249,1120,1122,1122,1121,1121,1120,1119,1120,1120,1120,1119,1120,1118,1119,1118,1118,1117,1116,1118,1118,1117,1118,1119,1116,1117,1116,1115,1116,1116,1115,1115,1117,1117,1119,1117,-2147483648,1116,1117,1117,660,664,663,666,665,665,663,660,661,674,679,672,669,671,669,673,663,664,664,661,657,668,672,688,680,682,683,687,682,685,683,672,671,680,684,622,668,671,673,1002,1001,1,"","4","","","","","C","","","","","P","","","",0,0,0,0,0
2,2022/07/22,18:32:39,"C227220031      ","N227204016      ",1,1,1,230,227,225,220,223,231,226,241,226,220,223,221,222,223,223,220,221,233,225,238,233,222,224,222,224,225,226,223,226,232,230,242,232,226,226,225,225,225,226,256,259,259,252,250,254,254,251,255,254,256,259,256,259,260,254,250,255,253,252,253,251,252,252,249,254,258,247,248,253,255,250,250,248,252,255,249,257,260,1116,1117,1118,1119,1120,1118,1118,1118,1117,1117,1117,1116,1117,1117,1115,1118,1118,1118,1117,1116,1116,1116,1117,1116,1116,1116,1117,1118,1118,1117,1116,1116,1116,1117,1116,1116,1116,1117,1117,659,656,650,667,673,665,660,661,662,666,663,661,662,659,657,669,672,665,665,660,662,667,663,668,666,661,660,674,672,664,658,659,664,669,662,661,663,658,657,995,985,1,"","4","","","","","D","","","","","P","","","",0,0,0,0,0
3,2022/07/22,18:32:39,"C227220031      ","N227204016      ",0,0,0,227,244,236,222,226,221,230,231,226,222,226,232,229,240,237,224,227,227,228,228,229,224,229,235,229,241,239,227,236,227,232,228,231,225,227,234,233,235,231,248,249,251,249,251,249,249,255,241,232,234,238,238,238,238,239,248,247,245,248,251,246,245,251,253,252,253,254,255,253,252,256,259,253,256,-2147483648,258,258,257,1124,1125,1124,1124,1124,1122,1123,1124,1122,1124,1123,1124,1121,1121,1121,1120,1121,1121,1121,1120,1121,1122,1123,1121,1120,1121,1121,1121,1121,1120,1120,1122,1121,1122,1122,-2147483648,1120,1121,1121,668,668,669,673,669,673,668,663,678,689,690,685,680,679,678,677,667,671,669,666,665,675,677,669,661,661,661,665,658,667,662,658,657,667,667,618,655,653,660,999,996,1,"","4","","","","","E","","","","","P","","","",0,0,0,0,0
4,2022/07/22,18:32:39,"C227220031      ","N227204016      ",1,1,1,231,222,221,217,217,232,228,242,228,225,226,223,225,224,225,224,221,231,229,241,230,223,225,223,226,222,227,224,225,231,230,239,237,227,227,228,229,229,226,252,255,255,248,248,252,254,251,252,248,251,251,250,253,256,247,252,253,254,251,254,252,255,252,252,254,257,248,249,253,254,256,258,255,256,258,255,260,262,1117,1116,1117,1119,1117,1117,1115,1114,1114,1113,1113,1112,1112,1112,1111,1113,1113,1113,1112,1111,1111,1112,1111,1111,1111,1112,1112,1114,1113,1113,1113,1113,1114,1113,1115,1114,1115,1115,1114,658,657,660,672,673,664,659,659,666,673,668,672,669,667,665,674,666,660,656,656,653,663,654,661,657,655,657,668,668,662,658,651,652,657,655,659,655,652,652,996,996,1,"","4","","","","","F","","","","","P","","","",0,0,0,0,0
5,2022/07/22,18:32:40,"C227220031      ","N227204016      ",1,1,1,235,232,228,226,229,224,225,228,225,225,224,234,231,243,240,223,236,230,236,235,226,227,229,232,230,240,236,232,235,231,230,230,226,226,231,234,231,232,228,239,237,237,235,238,238,236,240,244,232,232,237,237,236,237,236,252,252,252,254,258,246,246,248,250,249,252,250,253,253,253,250,253,244,247,252,252,253,254,1119,1118,1118,1117,1117,1116,1115,1116,1117,1119,1117,1118,1117,1117,1116,1115,1118,1117,1116,1118,1118,1119,1118,1118,1117,1118,1118,1118,1119,1117,1119,1119,1119,1120,1120,1121,1120,1120,1119,682,684,686,689,684,688,686,682,672,683,684,679,678,679,678,678,665,669,663,661,661,670,678,674,667,667,665,670,663,668,665,666,668,674,680,670,662,660,664,986,1006,1,"","4","","","","","G","","","","","P","","","",0,0,0,0,0
6,2022/07/22,18:32:40,"C227220031      ","N227204016      ",0,0,0,233,231,233,230,226,228,236,237,241,233,237,229,236,236,231,231,222,236,245,245,242,238,237,233,239,234,234,231,233,237,235,242,238,228,228,228,229,225,227,249,253,254,247,246,250,252,251,249,248,251,252,251,255,257,248,248,251,254,251,255,251,254,248,247,252,258,247,247,253,255,239,242,242,245,316,242,248,255,1125,1125,1127,1128,1126,1127,1126,1126,1126,1126,1126,1124,1125,1125,1126,1127,1127,1126,1124,1124,1125,1124,1125,1124,1124,1125,1124,1127,1126,1126,1125,1125,1125,1126,1127,1121,1126,1126,1125,679,678,674,684,690,684,672,673,673,675,670,674,670,666,665,674,680,673,667,666,666,670,665,676,672,669,666,675,682,673,661,678,681,683,678,620,681,676,669,1008,1003,1,"","4","","","","","H","","","","","P","","","",0,0,0,0,0
7,2022/07/22,18:32:40,"C227220031      ","N227204016      ",1,1,1,240,244,240,237,240,238,240,239,229,222,238,235,228,243,240,237,229,227,230,229,230,229,227,236,235,245,241,232,243,238,238,240,237,238,234,234,237,239,235,240,237,240,238,240,238,238,242,256,251,248,253,255,251,255,251,250,252,248,252,255,247,246,246,246,244,246,245,247,248,246,254,257,251,246,252,256,253,255,1125,1125,1125,1122,1123,1120,1123,1122,1123,1124,1123,1122,1122,1123,1122,1122,1122,1121,1120,1121,1121,1122,1121,1124,1123,1124,1124,1123,1124,1124,1124,1125,1126,1127,1126,1127,1126,1128,1127,675,678,677,682,678,679,678,673,659,667,673,667,663,664,663,667,675,678,677,674,671,680,687,675,670,671,669,674,666,673,672,664,664,671,684,676,666,668,672,997,997,1,"","4","","","","","A","","","","","P","","","",0,0,0,0,0
8,2022/07/22,18:32:41,"C227220031      ","N227204016      ",1,1,1,234,234,234,231,228,228,230,235,235,233,237,230,232,230,232,228,228,229,235,235,232,232,236,233,234,234,229,226,233,233,234,239,234,233,236,235,236,233,236,250,254,256,249,248,253,252,251,248,247,250,251,249,253,257,248,244,249,249,248,248,248,249,254,250,257,262,251,252,255,257,253,257,254,255,259,257,260,265,1124,1123,1124,1126,1125,1125,1122,1125,1125,1124,1125,1123,1124,1125,1124,1126,1124,1125,1124,1124,1125,1125,1125,1124,1124,1127,1126,1127,1126,1126,1126,1127,1126,1126,1127,1126,1126,1127,1127,671,667,664,678,680,679,671,672,676,679,671,676,676,672,669,682,689,682,673,677,678,679,673,674,673,668,665,677,678,675,665,669,670,674,669,669,667,666,662,1004,993,1,"","4","","","","","B","","","","","B","","","",0,0,0,0,0
9,2022/07/22,18:32:41,"C227220031      ","N227204016      ",0,0,0,238,241,239,228,241,235,238,235,229,218,232,230,225,240,237,234,236,234,233,234,231,227,234,226,232,231,228,227,229,226,228,228,230,228,227,228,231,233,229,253,251,253,253,253,254,252,256,257,244,243,248,248,245,249,244,252,252,250,254,256,248,250,239,239,239,240,237,240,242,240,251,253,243,246,313,252,247,250,1122,1121,1122,1122,1121,1119,1120,1118,1119,1120,1119,1118,1118,1118,1118,1116,1117,1117,1116,1117,1116,1118,1118,1115,1115,1115,1115,1115,1115,1115,1115,1116,1116,1118,1118,1112,1116,1116,1117,662,664,661,666,666,665,664,660,660,674,678,671,668,670,667,671,663,665,663,661,657,667,670,688,679,681,682,686,682,683,681,670,669,680,682,623,668,672,673,1000,998,1,"","4","","","","","C","","","","","P","","","",0,0,0,0,0
