"VISION2_DATA"
"DATA No","DATE","TIME","OLD_BATCH_NO1","OLD_BATCH_NO2","카메라 종합 결과","평탄도 결과","VISION2_DATA_01","VISION2_DATA_02","VISION2_DATA_03","VISION2_DATA_04","VISION2_DATA_05","VISION2_DATA_06","VISION2_DATA_07","VISION2_DATA_08","VISION2_DATA_09","VISION2_DATA_10","VISION2_DATA_11","VISION2_DATA_12","VISION2_DATA_13","VISION2_DATA_14","VISION2_DATA_15","VISION2_DATA_16","VISION2_DATA_17","VISION2_DATA_18","VISION2_DATA_19","VISION2_DATA_20","VISION2_DATA_21","VISION2_DATA_22","VISION2_DATA_23","VISION2_DATA_24","VISION2_DATA_25","VISION2_DATA_26","VISION2_DATA_27","VISION2_DATA_28","VISION2_DATA_29","VISION2_DATA_30","VISION2_DATA_31","VISION2_DATA_32","VISION2_DATA_33","VISION2_DATA_34","VISION2_DATA_35","VISION2_DATA_36","VISION2_DATA_37","VISION2_DATA_38","VISION2_DATA_39","VISION2_DATA_40","VISION2_DATA_41","VISION2_DATA_42","VISION2_DATA_43","VISION2_DATA_44","VISION2_DATA_45","VISION2_DATA_46","VISION2_DATA_47","VISION2_DATA_48","VISION2_DATA_49","VISION2_DATA_50","VISION2_DATA_51","VISION2_DATA_52","VISION2_DATA_53","VISION2_DATA_54","VISION2_DATA_55","VISION2_DATA_56","VISION2_DATA_57","VISION2_DATA_58","VISION2_DATA_59","VISION2_DATA_60","VISION2_DATA_61","VISION2_DATA_62","VISION2_DATA_63","VISION2_DATA_64","VISION2_DATA_65","VISION2_DATA_66","VISION2_DATA_67","VISION2_DATA_68","VISION2_DATA_69","VISION2_DATA_70","VISION2_DATA_71","VISION2_DATA_72","VISION2_DATA_73","VISION2_DATA_74","VISION2_DATA_75","VISION2_DATA_76","VISION2_DATA_77","VISION2_DATA_78","VISION2_DATA_79","VISION2_DATA_80","VISION2_DATA_81","VISION2_DATA_82","VISION2_DATA_83","VISION2_DATA_84","VISION2_DATA_85","VISION2_DATA_86","VISION2_DATA_87","VISION2_DATA_88","VISION2_DATA_89","VISION2_DATA_90","VISION2_DATA_91","VISION2_DATA_92","VISION2_DATA_93","VISION2_DATA_94","VISION2_DATA_95","VISION2_DATA_96","VISION2_DATA_97","VISION2_DATA_98","VISION2_DATA_99","VISION2_DATA_100","VISION2_DATA_101","VISION2_DATA_102","VISION2_DATA_103","VISION2_DATA_104","VISION2_DATA_105","VISION2_DATA_106","VISION2_DATA_107","VISION2_DATA_108","VISION2_DATA_109","VISION2_DATA_110","VISION2_DATA_111","VISION2_DATA_112","VISION2_DATA_113","VISION2_DATA_114","VISION2_DATA_115","VISION2_DATA_116","VISION2_DATA_117","VISION2_DATA_118","VISION2_DATA_119","VISION2_DATA_120","VISION2_DATA_121","VISION2_DATA_122","VISION2_DATA_123","VISION2_DATA_124","VISION2_DATA_125","VISION2_DATA_126","VISION2_DATA_127","VISION2_DATA_128","VISION2_DATA_129","VISION2_DATA_130","VISION2_DATA_131","VISION2_DATA_132","VISION2_DATA_133","VISION2_DATA_134","VISION2_DATA_135","VISION2_DATA_136","VISION2_DATA_137","VISION2_DATA_138","VISION2_DATA_139","VISION2_DATA_140","VISION2_DATA_141","VISION2_DATA_142","VISION2_DATA_143","VISION2_DATA_144","VISION2_DATA_145","VISION2_DATA_146","VISION2_DATA_147","VISION2_DATA_148","VISION2_DATA_149","VISION2_DATA_150","VISION2_DATA_151","VISION2_DATA_152","VISION2_DATA_153","VISION2_DATA_154","VISION2_DATA_155","VISION2_DATA_156","VISION2_DATA_157","VISION2_DATA_158","VISION2_DATA_159","VISION2_DATA_160","VISION2_DATA_161","VISION2_DATA_162","VISION2_DATA_163","VISION2_DATA_164","VISION2_DATA_165","VISION2_DATA_166","VISION2_DATA_167","VISION2_DATA_168","VISION2_DATA_169","VISION2_DATA_170","VISION2_DATA_171","VISION2_DATA_172","VISION2_DATA_173","VISION2_DATA_174","VISION2_DATA_175","VISION2_DATA_176","VISION2_DATA_177","VISION2_DATA_178","VISION2_DATA_179","VISION2_DATA_180","VISION2_DATA_181","VISION2_DATA_182"
0,2022/07/22,18:34:20,"C227220031      ","N227204016      ",1,1,10,11,15,19,22,23,24,27,30,30,34,34,36,35,37,38,37,39,40,39,36,37,37,38,37,34,33,32,33,32,30,27,25,21,19,20,11,8,8,11,5,7,8,11,15,20,20,21,22,27,27,27,28,31,28,32,32,35,31,32,33,31,33,31,30,30,29,27,25,25,24,24,22,18,16,13,9,5,2,-4,-25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2022/07/22,18:34:22,"C227220031      ","N227204016      ",1,1,1,2,5,8,11,12,11,12,14,15,17,17,18,16,18,18,16,18,20,18,16,17,18,17,16,17,15,15,17,17,15,12,11,9,9,10,1,-1,1,12,0,8,13,14,17,20,20,21,23,24,25,27,27,27,26,26,26,23,28,29,26,26,30,25,26,29,25,29,27,27,28,27,23,21,16,17,17,6,10,5,-31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2022/07/22,18:34:22,"C227220031      ","N227204016      ",1,1,1,2,1,4,5,7,5,8,9,10,11,11,11,13,11,11,11,11,13,12,10,10,11,10,12,11,7,10,11,11,8,9,7,5,2,7,-1,-4,-2,14,-2,4,6,9,12,12,15,14,16,17,18,17,19,18,19,18,19,20,21,23,22,21,23,19,18,19,17,18,16,13,15,17,16,12,9,7,7,3,1,-5,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2022/07/22,18:34:24,"C227220031      ","N227204016      ",1,1,5,6,8,11,12,14,13,15,17,18,21,20,20,17,19,17,17,18,19,17,18,19,18,19,16,16,15,17,15,18,17,15,13,8,9,10,2,-1,2,14,4,1,4,4,7,9,11,12,13,13,15,16,16,14,19,18,13,16,16,20,13,15,17,16,14,14,13,9,10,12,12,11,11,8,2,2,-2,-4,-6,-12,-29,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2022/07/22,18:34:24,"C227220031      ","N227204016      ",1,1,11,14,19,22,25,27,24,27,30,29,30,32,33,33,34,32,33,34,36,33,30,31,32,32,30,31,28,26,26,27,26,24,21,17,16,16,8,5,5,17,3,8,10,13,16,17,20,21,23,24,25,26,27,27,27,27,27,27,27,30,31,31,31,29,30,30,28,26,24,23,24,25,21,19,18,13,10,8,4,-2,-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022/07/22,18:34:25,"C227220031      ","N227204016      ",1,1,9,10,14,17,20,20,20,22,23,25,25,25,26,26,26,26,26,24,25,23,22,22,22,22,21,21,20,18,19,18,17,15,11,9,9,10,2,-2,2,23,2,17,17,22,24,26,27,26,28,28,27,30,28,31,31,31,31,27,34,32,30,32,34,28,23,32,28,27,28,27,26,27,25,18,19,18,11,14,8,6,-27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2022/07/22,18:34:25,"C227220031      ","N227204016      ",1,1,-2,-2,1,3,6,8,6,7,8,9,10,12,11,12,12,11,10,10,12,12,10,12,11,11,12,10,9,11,13,12,9,8,8,4,7,7,-2,-4,-1,11,-1,15,15,17,17,20,20,21,22,24,25,25,24,25,26,26,26,24,27,27,27,26,27,25,28,27,24,26,23,21,26,24,21,21,19,19,16,13,9,4,-22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2022/07/22,18:34:26,"C227220031      ","N227204016      ",1,1,3,5,8,11,13,13,13,15,18,16,17,19,19,17,20,18,19,19,21,20,18,21,20,21,20,20,17,18,20,20,19,18,16,14,13,14,4,3,5,16,9,10,13,14,14,15,17,17,18,20,20,21,21,23,23,23,23,25,24,26,26,25,27,23,25,26,22,22,22,21,19,20,18,17,15,13,11,9,5,0,-23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2022/07/22,18:34:26,"C227220031      ","N227204016      ",1,1,9,12,16,20,22,24,23,26,27,29,30,33,34,34,34,35,37,37,38,36,34,36,35,35,34,33,31,31,32,32,30,26,24,21,19,20,11,7,9,13,5,7,9,12,14,16,18,18,19,24,24,25,26,28,27,29,30,31,34,35,32,34,36,34,35,34,34,31,31,29,29,28,26,22,20,18,14,9,6,1,-27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2022/07/22,18:34:26,"C227220031      ","N227204016      ",1,1,0,0,2,5,6,8,5,6,8,8,10,9,9,10,9,9,9,8,10,8,7,9,9,9,8,7,7,8,9,9,7,5,3,2,3,3,-3,-9,-4,11,-2,7,9,11,11,10,13,11,12,14,14,14,14,14,14,14,14,13,16,19,16,15,15,15,16,17,15,15,13,11,12,11,8,7,8,6,5,3,-1,-4,-22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
