"VISION2_DATA"
"DATA No","DATE","TIME","OLD_BATCH_NO1","OLD_BATCH_NO2","카메라 종합 결과","평탄도 결과","VISION2_DATA_01","VISION2_DATA_02","VISION2_DATA_03","VISION2_DATA_04","VISION2_DATA_05","VISION2_DATA_06","VISION2_DATA_07","VISION2_DATA_08","VISION2_DATA_09","VISION2_DATA_10","VISION2_DATA_11","VISION2_DATA_12","VISION2_DATA_13","VISION2_DATA_14","VISION2_DATA_15","VISION2_DATA_16","VISION2_DATA_17","VISION2_DATA_18","VISION2_DATA_19","VISION2_DATA_20","VISION2_DATA_21","VISION2_DATA_22","VISION2_DATA_23","VISION2_DATA_24","VISION2_DATA_25","VISION2_DATA_26","VISION2_DATA_27","VISION2_DATA_28","VISION2_DATA_29","VISION2_DATA_30","VISION2_DATA_31","VISION2_DATA_32","VISION2_DATA_33","VISION2_DATA_34","VISION2_DATA_35","VISION2_DATA_36","VISION2_DATA_37","VISION2_DATA_38","VISION2_DATA_39","VISION2_DATA_40","VISION2_DATA_41","VISION2_DATA_42","VISION2_DATA_43","VISION2_DATA_44","VISION2_DATA_45","VISION2_DATA_46","VISION2_DATA_47","VISION2_DATA_48","VISION2_DATA_49","VISION2_DATA_50","VISION2_DATA_51","VISION2_DATA_52","VISION2_DATA_53","VISION2_DATA_54","VISION2_DATA_55","VISION2_DATA_56","VISION2_DATA_57","VISION2_DATA_58","VISION2_DATA_59","VISION2_DATA_60","VISION2_DATA_61","VISION2_DATA_62","VISION2_DATA_63","VISION2_DATA_64","VISION2_DATA_65","VISION2_DATA_66","VISION2_DATA_67","VISION2_DATA_68","VISION2_DATA_69","VISION2_DATA_70","VISION2_DATA_71","VISION2_DATA_72","VISION2_DATA_73","VISION2_DATA_74","VISION2_DATA_75","VISION2_DATA_76","VISION2_DATA_77","VISION2_DATA_78","VISION2_DATA_79","VISION2_DATA_80","VISION2_DATA_81","VISION2_DATA_82","VISION2_DATA_83","VISION2_DATA_84","VISION2_DATA_85","VISION2_DATA_86","VISION2_DATA_87","VISION2_DATA_88","VISION2_DATA_89","VISION2_DATA_90","VISION2_DATA_91","VISION2_DATA_92","VISION2_DATA_93","VISION2_DATA_94","VISION2_DATA_95","VISION2_DATA_96","VISION2_DATA_97","VISION2_DATA_98","VISION2_DATA_99","VISION2_DATA_100","VISION2_DATA_101","VISION2_DATA_102","VISION2_DATA_103","VISION2_DATA_104","VISION2_DATA_105","VISION2_DATA_106","VISION2_DATA_107","VISION2_DATA_108","VISION2_DATA_109","VISION2_DATA_110","VISION2_DATA_111","VISION2_DATA_112","VISION2_DATA_113","VISION2_DATA_114","VISION2_DATA_115","VISION2_DATA_116","VISION2_DATA_117","VISION2_DATA_118","VISION2_DATA_119","VISION2_DATA_120","VISION2_DATA_121","VISION2_DATA_122","VISION2_DATA_123","VISION2_DATA_124","VISION2_DATA_125","VISION2_DATA_126","VISION2_DATA_127","VISION2_DATA_128","VISION2_DATA_129","VISION2_DATA_130","VISION2_DATA_131","VISION2_DATA_132","VISION2_DATA_133","VISION2_DATA_134","VISION2_DATA_135","VISION2_DATA_136","VISION2_DATA_137","VISION2_DATA_138","VISION2_DATA_139","VISION2_DATA_140","VISION2_DATA_141","VISION2_DATA_142","VISION2_DATA_143","VISION2_DATA_144","VISION2_DATA_145","VISION2_DATA_146","VISION2_DATA_147","VISION2_DATA_148","VISION2_DATA_149","VISION2_DATA_150","VISION2_DATA_151","VISION2_DATA_152","VISION2_DATA_153","VISION2_DATA_154","VISION2_DATA_155","VISION2_DATA_156","VISION2_DATA_157","VISION2_DATA_158","VISION2_DATA_159","VISION2_DATA_160","VISION2_DATA_161","VISION2_DATA_162","VISION2_DATA_163","VISION2_DATA_164","VISION2_DATA_165","VISION2_DATA_166","VISION2_DATA_167","VISION2_DATA_168","VISION2_DATA_169","VISION2_DATA_170","VISION2_DATA_171","VISION2_DATA_172","VISION2_DATA_173","VISION2_DATA_174","VISION2_DATA_175","VISION2_DATA_176","VISION2_DATA_177","VISION2_DATA_178","VISION2_DATA_179","VISION2_DATA_180","VISION2_DATA_181","VISION2_DATA_182"
0,2022/07/23,22:58:14,"C227220027      ","N227216007      ",1,1,6,6,10,11,14,16,14,16,18,18,20,20,20,19,20,20,20,20,21,19,19,19,20,22,21,20,17,18,19,19,17,15,13,11,11,12,3,1,3,11,2,16,21,24,24,27,30,30,32,38,39,38,41,42,41,41,42,41,41,45,44,43,43,41,42,40,38,38,36,36,36,37,32,30,33,28,27,22,21,16,2,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2022/07/23,22:58:15,"C227220027      ","N227216007      ",1,1,10,13,15,19,21,23,22,24,27,25,29,28,28,28,28,29,26,27,29,26,26,28,27,27,24,25,23,22,21,24,21,19,17,14,14,14,7,2,6,17,1,21,23,25,30,31,34,33,34,40,38,41,41,43,40,40,41,41,39,42,40,41,41,39,39,42,37,37,35,32,34,34,31,28,30,25,23,20,19,14,10,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2022/07/23,22:58:16,"C227220027      ","N227216007      ",1,1,5,7,10,14,16,18,16,18,21,22,23,25,23,25,25,25,25,25,25,24,23,24,24,24,24,23,21,21,20,21,20,18,16,12,14,13,5,-1,4,12,-1,27,30,34,35,41,42,45,45,53,52,53,55,54,54,53,52,52,53,54,52,53,53,51,52,50,48,49,44,45,45,46,40,38,39,35,32,28,27,22,16,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2022/07/23,22:58:16,"C227220027      ","N227216007      ",1,1,13,12,15,18,21,24,21,24,26,26,28,29,30,30,30,29,29,31,33,31,28,30,31,31,28,29,26,27,27,28,28,23,23,21,21,21,12,9,12,15,11,14,18,23,25,28,31,31,34,39,43,43,44,43,44,44,48,45,44,48,44,47,46,45,46,47,43,44,40,40,41,41,39,36,33,32,31,28,25,23,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2022/07/23,22:58:16,"C227220027      ","N227216007      ",1,1,14,17,19,24,25,28,27,29,32,31,34,33,34,34,34,34,35,34,35,31,33,33,32,33,30,30,27,28,28,28,25,24,21,15,17,18,9,7,8,19,1,20,24,25,30,33,32,36,38,40,42,45,43,45,45,45,46,46,48,48,47,46,43,46,45,44,44,43,42,43,41,41,35,35,34,32,29,27,24,19,10,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022/07/23,22:58:17,"C227220027      ","N227216007      ",1,1,5,8,10,11,14,14,14,16,19,20,20,22,20,21,22,21,21,20,23,20,18,21,21,21,20,20,18,19,17,19,16,15,14,11,10,12,3,2,4,16,1,29,31,34,35,39,40,40,42,46,48,47,48,48,49,47,49,48,47,49,48,47,49,46,47,46,44,47,42,41,42,42,39,35,35,33,32,29,25,22,17,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2022/07/23,22:58:17,"C227220027      ","N227216007      ",1,1,18,21,23,27,29,32,30,30,34,34,37,36,36,35,36,37,35,36,37,35,33,34,32,33,32,32,29,29,29,28,25,26,22,19,19,20,10,8,10,23,2,26,29,34,35,39,38,41,43,45,46,48,50,50,49,50,51,51,50,51,49,49,48,47,50,48,44,44,44,44,42,41,41,39,36,33,32,29,27,23,14,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2022/07/23,22:58:17,"C227220027      ","N227216007      ",1,1,18,19,22,27,29,32,30,33,34,34,36,34,38,36,38,38,37,37,38,35,33,36,34,35,32,32,31,29,29,31,29,26,24,20,20,20,13,9,11,24,7,24,27,29,32,35,37,37,41,44,43,46,45,46,47,47,49,48,50,49,48,48,47,48,48,48,45,46,44,44,45,45,43,43,39,37,33,33,29,26,13,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2022/07/23,22:58:18,"C227220027      ","N227216007      ",1,1,4,5,7,9,12,13,11,13,14,15,16,15,17,16,17,16,15,18,18,16,14,17,17,16,14,16,13,13,13,14,13,10,10,5,6,7,1,-3,0,14,-2,18,20,22,24,27,27,28,30,33,34,34,35,35,36,35,37,38,35,39,37,38,40,36,37,37,36,35,32,32,33,35,32,30,29,26,24,20,20,17,8,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2022/07/23,22:58:19,"C227220027      ","N227216007      ",1,1,16,17,19,25,25,30,27,29,32,33,33,35,33,33,35,35,35,35,34,34,33,32,31,31,30,28,25,27,28,26,23,20,19,13,16,15,7,5,6,18,2,24,26,28,31,35,35,36,40,42,43,47,46,45,46,46,47,48,48,49,47,45,44,46,47,45,42,43,43,41,43,42,38,36,33,33,30,28,26,22,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
