"VISION2_DATA"
"DATA No","DATE","TIME","OLD_BATCH_NO1","OLD_BATCH_NO2","카메라 종합 결과","평탄도 결과","VISION2_DATA_01","VISION2_DATA_02","VISION2_DATA_03","VISION2_DATA_04","VISION2_DATA_05","VISION2_DATA_06","VISION2_DATA_07","VISION2_DATA_08","VISION2_DATA_09","VISION2_DATA_10","VISION2_DATA_11","VISION2_DATA_12","VISION2_DATA_13","VISION2_DATA_14","VISION2_DATA_15","VISION2_DATA_16","VISION2_DATA_17","VISION2_DATA_18","VISION2_DATA_19","VISION2_DATA_20","VISION2_DATA_21","VISION2_DATA_22","VISION2_DATA_23","VISION2_DATA_24","VISION2_DATA_25","VISION2_DATA_26","VISION2_DATA_27","VISION2_DATA_28","VISION2_DATA_29","VISION2_DATA_30","VISION2_DATA_31","VISION2_DATA_32","VISION2_DATA_33","VISION2_DATA_34","VISION2_DATA_35","VISION2_DATA_36","VISION2_DATA_37","VISION2_DATA_38","VISION2_DATA_39","VISION2_DATA_40","VISION2_DATA_41","VISION2_DATA_42","VISION2_DATA_43","VISION2_DATA_44","VISION2_DATA_45","VISION2_DATA_46","VISION2_DATA_47","VISION2_DATA_48","VISION2_DATA_49","VISION2_DATA_50","VISION2_DATA_51","VISION2_DATA_52","VISION2_DATA_53","VISION2_DATA_54","VISION2_DATA_55","VISION2_DATA_56","VISION2_DATA_57","VISION2_DATA_58","VISION2_DATA_59","VISION2_DATA_60","VISION2_DATA_61","VISION2_DATA_62","VISION2_DATA_63","VISION2_DATA_64","VISION2_DATA_65","VISION2_DATA_66","VISION2_DATA_67","VISION2_DATA_68","VISION2_DATA_69","VISION2_DATA_70","VISION2_DATA_71","VISION2_DATA_72","VISION2_DATA_73","VISION2_DATA_74","VISION2_DATA_75","VISION2_DATA_76","VISION2_DATA_77","VISION2_DATA_78","VISION2_DATA_79","VISION2_DATA_80","VISION2_DATA_81","VISION2_DATA_82","VISION2_DATA_83","VISION2_DATA_84","VISION2_DATA_85","VISION2_DATA_86","VISION2_DATA_87","VISION2_DATA_88","VISION2_DATA_89","VISION2_DATA_90","VISION2_DATA_91","VISION2_DATA_92","VISION2_DATA_93","VISION2_DATA_94","VISION2_DATA_95","VISION2_DATA_96","VISION2_DATA_97","VISION2_DATA_98","VISION2_DATA_99","VISION2_DATA_100","VISION2_DATA_101","VISION2_DATA_102","VISION2_DATA_103","VISION2_DATA_104","VISION2_DATA_105","VISION2_DATA_106","VISION2_DATA_107","VISION2_DATA_108","VISION2_DATA_109","VISION2_DATA_110","VISION2_DATA_111","VISION2_DATA_112","VISION2_DATA_113","VISION2_DATA_114","VISION2_DATA_115","VISION2_DATA_116","VISION2_DATA_117","VISION2_DATA_118","VISION2_DATA_119","VISION2_DATA_120","VISION2_DATA_121","VISION2_DATA_122","VISION2_DATA_123","VISION2_DATA_124","VISION2_DATA_125","VISION2_DATA_126","VISION2_DATA_127","VISION2_DATA_128","VISION2_DATA_129","VISION2_DATA_130","VISION2_DATA_131","VISION2_DATA_132","VISION2_DATA_133","VISION2_DATA_134","VISION2_DATA_135","VISION2_DATA_136","VISION2_DATA_137","VISION2_DATA_138","VISION2_DATA_139","VISION2_DATA_140","VISION2_DATA_141","VISION2_DATA_142","VISION2_DATA_143","VISION2_DATA_144","VISION2_DATA_145","VISION2_DATA_146","VISION2_DATA_147","VISION2_DATA_148","VISION2_DATA_149","VISION2_DATA_150","VISION2_DATA_151","VISION2_DATA_152","VISION2_DATA_153","VISION2_DATA_154","VISION2_DATA_155","VISION2_DATA_156","VISION2_DATA_157","VISION2_DATA_158","VISION2_DATA_159","VISION2_DATA_160","VISION2_DATA_161","VISION2_DATA_162","VISION2_DATA_163","VISION2_DATA_164","VISION2_DATA_165","VISION2_DATA_166","VISION2_DATA_167","VISION2_DATA_168","VISION2_DATA_169","VISION2_DATA_170","VISION2_DATA_171","VISION2_DATA_172","VISION2_DATA_173","VISION2_DATA_174","VISION2_DATA_175","VISION2_DATA_176","VISION2_DATA_177","VISION2_DATA_178","VISION2_DATA_179","VISION2_DATA_180","VISION2_DATA_181","VISION2_DATA_182"
0,2022/07/23,09:52:04,"C227230020      ","N227226025      ",0,0,20,25,30,35,39,43,45,48,52,53,56,59,59,60,61,62,63,65,66,64,64,67,67,68,64,63,62,61,62,63,59,57,55,52,49,48,37,35,34,30,27,36,39,43,48,52,55,57,60,63,65,69,70,72,72,74,74,75,77,77,76,75,77,77,76,78,75,76,71,73,71,69,64,62,57,55,48,45,40,33,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2022/07/23,09:52:04,"C227230020      ","N227226025      ",0,0,26,32,37,41,45,49,49,51,57,58,59,65,64,65,67,66,68,69,70,70,69,69,69,69,69,66,66,65,65,65,59,59,53,51,49,47,35,31,32,26,15,42,45,50,55,60,59,61,65,66,68,69,70,72,74,74,75,78,77,76,76,75,76,73,72,72,72,71,70,69,67,69,63,57,56,53,49,43,38,33,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2022/07/23,09:52:05,"C227230020      ","N227226025      ",0,0,29,32,36,42,47,51,52,55,60,62,63,67,68,68,70,72,72,72,75,74,73,76,76,76,73,75,71,71,72,71,68,66,61,57,59,55,45,41,40,31,33,37,40,42,48,51,53,55,58,59,61,64,65,65,67,63,64,65,66,72,73,73,73,72,71,71,70,70,66,66,65,62,61,56,54,51,47,43,39,30,13,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2022/07/23,09:52:05,"C227230020      ","N227226025      ",0,0,22,26,30,39,40,45,45,49,54,53,56,59,63,62,65,66,69,66,67,68,68,69,67,68,66,67,64,62,64,62,56,57,54,48,47,44,35,32,31,19,23,41,47,50,56,60,60,65,67,71,71,73,73,75,77,79,80,80,81,84,83,82,81,82,79,80,78,77,75,74,73,70,67,61,60,56,52,49,42,36,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2022/07/23,09:52:05,"C227230020      ","N227226025      ",0,0,33,38,41,48,52,56,57,61,66,66,70,73,73,75,75,77,77,79,81,80,77,80,79,81,75,76,74,74,77,73,72,68,66,61,61,57,49,43,45,42,36,34,37,42,45,48,52,55,56,60,63,65,66,68,68,69,71,70,71,74,72,72,73,73,71,71,70,70,67,66,64,64,57,54,52,47,43,40,34,25,16,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022/07/23,09:52:06,"C227230020      ","N227226025      ",0,0,32,36,40,47,52,55,55,61,63,67,69,72,73,73,76,76,77,78,79,78,77,78,79,77,73,74,73,73,73,73,68,64,62,55,55,54,44,35,38,31,26,48,51,55,59,63,66,69,70,74,76,77,78,80,81,81,83,84,85,85,85,83,85,85,84,82,80,80,76,77,76,72,70,65,61,58,52,48,42,36,21,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2022/07/23,09:52:06,"C227230020      ","N227226025      ",0,0,33,37,42,46,51,54,57,60,65,66,70,74,74,73,76,76,77,79,80,78,80,80,80,79,77,78,76,74,75,76,71,69,68,60,62,60,49,42,44,37,37,36,40,45,48,51,55,55,59,63,65,66,66,68,68,70,71,72,73,76,74,72,74,73,74,71,70,70,66,66,65,63,61,57,55,52,48,44,38,31,15,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2022/07/23,09:52:06,"C227230020      ","N227226025      ",1,1,28,33,37,42,47,49,49,52,57,57,59,62,64,63,65,65,67,68,68,67,65,66,66,69,65,65,62,61,66,63,57,55,54,50,50,48,40,37,36,31,30,34,38,44,46,49,51,53,54,57,57,59,59,61,62,62,64,65,65,67,65,63,64,64,63,64,62,62,60,59,58,58,54,51,49,44,41,38,34,29,13,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2022/07/23,09:52:07,"C227230020      ","N227226025      ",0,0,17,19,23,28,32,36,36,39,43,42,46,48,47,48,49,49,50,52,51,50,48,50,51,50,50,50,48,48,49,52,48,45,44,41,41,41,31,24,25,27,22,36,39,42,45,48,50,53,56,58,59,60,61,62,61,62,64,60,62,64,61,61,63,61,62,64,60,60,58,61,58,60,55,52,51,50,45,41,38,32,20,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2022/07/23,09:52:07,"C227230020      ","N227226025      ",0,0,37,42,47,52,57,61,61,65,68,70,73,75,76,76,79,79,80,79,81,81,79,80,80,77,79,77,73,74,74,73,67,67,61,57,56,56,45,39,40,41,27,37,41,45,49,53,57,57,61,64,65,66,67,68,68,69,71,71,70,73,69,69,71,70,69,68,65,65,64,62,62,61,57,53,51,47,44,38,33,25,16,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
